SampleName,DT,KNN,XGBoost,Adaboost,ensembl_xgb_ada
WP_046101283.1,1.0,1.0,0.9858426,0.9999929221169026,0.9929177538402811
WP_085938215.1,1.0,0.95,0.9858426,0.9999929221169026,0.9929177538402811
WP_060527926.1,1.0,1.0,0.9858426,0.9999929221169026,0.9929177538402811
WP_088912163.1,1.0,1.0,0.9858426,0.9999929221169026,0.9929177538402811
WP_033851601.1,1.0,1.0,0.9858426,0.9999929221169026,0.9929177538402811
WP_045124563.1,1.0,1.0,0.9858426,0.9999929221169026,0.9929177538402811
WP_031656931.1,1.0,1.0,0.9858426,0.9999929221169026,0.9929177538402811
WP_031431988.1,1.0,1.0,0.9858426,0.9999929221169026,0.9929177538402811
WP_060422788.1,1.0,1.0,0.9858426,0.9999929221169026,0.9929177538402811
WP_047361658.1,1.0,1.0,0.9858426,0.9999929221169026,0.9929177538402811
WP_050117363.1,1.0,1.0,0.9858426,0.9999929221169026,0.9929177538402811
WP_063415881.1,1.0,1.0,0.9858426,0.9999929221169026,0.9929177538402811
WP_049724747.1,1.0,1.0,0.9858426,0.9999929221169026,0.9929177538402811
WP_086904404.1,1.0,1.0,0.9858426,0.9999929221169026,0.9929177538402811
WP_088347300.1,1.0,0.95,0.98538846,0.9999929221169026,0.9926906899460093
WP_035619941.1,1.0,1.0,0.985114,0.9999929221169026,0.992553450251414
WP_009518867.1,1.0,1.0,0.985114,0.9999929221169026,0.992553450251414
WP_008838212.1,1.0,0.9,0.985114,0.9999929221169026,0.992553450251414
WP_084316793.1,1.0,0.7,0.9847151,0.9999929221169026,0.9923540131099955
WP_087527547.1,1.0,1.0,0.9843689,0.9999929221169026,0.9921809212215678
WP_058870690.1,1.0,1.0,0.9843689,0.9999929221169026,0.9921809212215678
WP_006580534.1,1.0,1.0,0.9843689,0.9999929221169026,0.9921809212215678
WP_075054206.1,1.0,1.0,0.9843689,0.9999929221169026,0.9921809212215678
WP_006630972.1,1.0,0.8999999999999999,0.9840563,0.9999929221169026,0.9920246080406443
WP_012912354.1,1.0,0.35,0.9839519,0.9999929221169026,0.9919724241741434
WP_019497030.1,1.0,0.95,0.9839519,0.9999929221169026,0.9919724241741434
WP_011308723.1,1.0,1.0,0.9834978,0.9999929221169026,0.9917453602798716
