SampleName,DT,KNN,XGBoost,Adaboost,ensembl_xgb_ada
WP_083862946.1,1.0,0.7000000000000001,0.99767405,0.9282924261381478,0.9629832370425389
WP_060527926.1,1.0,1.0,0.9978179,0.9206683833347753,0.9592431286447741
WP_015329024.1,1.0,0.8500000000000001,0.9969211,0.9208883681261076,0.9589047451001174
WP_027844945.1,1.0,0.8,0.997247,0.9202887989620896,0.9587678898146019
WP_063059159.1,1.0,0.9,0.9977689,0.918835161658649,0.9583020202977083
WP_015201773.1,1.0,1.0,0.9973262,0.9192382693379713,0.958282232288996
WP_084316793.1,1.0,0.9,0.9970311,0.9192548327023808,0.9581429626730593
WP_017841076.1,1.0,1.0,0.99740374,0.9187615874158463,0.9580826641493599
WP_090164194.1,1.0,0.8,0.99747145,0.9185827407550198,0.9580270962571791
WP_011308723.1,1.0,1.0,0.9977408,0.9182004499629136,0.957970627555996
WP_096644251.1,1.0,0.8500000000000001,0.99747705,0.918429537547848,0.9579532960718976
WP_019497030.1,1.0,0.8999999999999999,0.9976932,0.9181183634045504,0.9579057722212266
WP_015157107.1,1.0,1.0,0.99756086,0.9177883853749569,0.9576746220507292
WP_075054206.1,1.0,1.0,0.9974803,0.9176471526094869,0.957563712928126
WP_084286803.1,1.0,0.95,0.9974803,0.9171530863221227,0.9573166797844439
WP_050117363.1,1.0,1.0,0.9978179,0.9161209217173965,0.9569693978360847
WP_092569305.1,1.0,1.0,0.9978179,0.9153288343479202,0.9565733541513466
WP_015159126.1,1.0,0.95,0.9970294,0.915867364203942,0.9564483939588131
WP_090604190.1,1.0,1.0,0.99741983,0.9145214614131869,0.9559706477750749
WP_006630972.1,1.0,1.0,0.997609,0.9141607033071335,0.9558848612933067
WP_008838212.1,1.0,0.95,0.9977733,0.9139799060236542,0.9558765978520676
WP_045124563.1,1.0,1.0,0.9977703,0.9139295720089364,0.9558499407285893
WP_078690884.1,1.0,0.7000000000000001,0.9968961,0.9143814713067054,0.9556387797150134
WP_096534863.1,1.0,0.7000000000000001,0.9975781,0.9135602669306571,0.9555691756997493
WP_096581191.1,1.0,0.8,0.9972841,0.9134905939610604,0.9553873541609348
WP_065383217.1,1.0,0.95,0.99747825,0.912731750817585,0.9551049987532139
WP_045765666.1,1.0,1.0,0.9978179,0.9121635497492189,0.9549907118519959
WP_047361658.1,1.0,1.0,0.9978179,0.9121635497492189,0.9549907118519959
WP_024889333.1,1.0,1.0,0.9978179,0.9121635497492189,0.9549907118519959
WP_086904404.1,1.0,1.0,0.9973836,0.9120647212653064,0.9547241578891229
WP_036294986.1,1.0,1.0,0.9974536,0.9119157129871455,0.9546846416765256
WP_036250713.1,1.0,1.0,0.9974536,0.9119157129871455,0.9546846416765256
WP_033435353.1,1.0,0.75,0.99721694,0.9118964118474688,0.9545566758868081
WP_035619941.1,1.0,1.0,0.9978179,0.9112872207165181,0.9545525473356455
WP_083930349.1,1.0,0.7000000000000001,0.9969441,0.9117267163284288,0.9543354228977197
