SampleName,DT,KNN,XGBoost,Adaboost,ensembl_xgb_ada
WP_092265422.1,1.0,1.0,0.99736047,0.956564695547496,0.9769625817291313
WP_097007364.1,1.0,1.0,0.99532247,0.9391587979588278,0.9672406319277171
WP_052287949.1,1.0,0.8500000000000001,0.9968955,0.9340690818180717,0.9654822869474727
WP_013878483.1,1.0,1.0,0.99532247,0.9303538794654563,0.9628381726810313
WP_056466663.1,1.0,1.0,0.99112093,0.9338864440053624,0.9625036892458758
WP_049907365.1,1.0,1.0,0.99532247,0.925306742142284,0.9603146040194452
WP_049982463.1,1.0,1.0,0.99532247,0.9249680543121181,0.9601452601043623
WP_100217698.1,1.0,0.95,0.9888078,0.9147992043825419,0.9518035009072439
WP_004968197.1,1.0,1.0,0.99532247,0.9052314732942601,0.9502769695954333
WP_096386367.1,1.0,0.8500000000000001,0.97733694,0.9193994827400919,0.9483682129448292
WP_049923881.1,1.0,0.95,0.96653354,0.9271320726972138,0.9468328071882981
WP_077067832.1,1.0,1.0,0.9451415,0.9483944249731885,0.946767959623664
WP_091970176.1,1.0,1.0,0.99165756,0.8956700901628263,0.9436638226330641
WP_010682499.1,1.0,0.95,0.9956601,0.8891834240241644,0.9424217751167117
WP_049912037.1,1.0,1.0,0.99519825,0.8873412101727669,0.9412697299948307
WP_065061705.1,1.0,0.8500000000000001,0.99473655,0.8856790387035084,0.9402077954709864
WP_006090832.1,1.0,0.95,0.98001134,0.9003128756561829,0.9401621098060883
WP_089668176.1,1.0,1.0,0.99532247,0.8830616393333162,0.9391920526149613
WP_079235170.1,1.0,1.0,0.99519825,0.8782895147943546,0.9367438823056246
WP_089230993.1,1.0,1.0,0.9931141,0.8801828468219409,0.9366484803148096
WP_074796062.1,1.0,0.95,0.9854481,0.8876423936867929,0.9365452578556646
WP_058572808.1,1.0,0.95,0.9854481,0.8876423936867929,0.9365452578556646
WP_011238781.1,1.0,1.0,0.9890351,0.8805841883873932,0.9348096589672561
WP_006054116.1,1.0,0.95,0.98012996,0.8876423936867929,0.9338861754429448
WP_015195532.1,1.0,0.8500000000000001,0.99399483,0.870015543050984,0.9320051875449318
WP_038030576.1,0.75,0.45000000000000007,0.9841925,0.8780869302984251,0.9311397104380614
WP_049934199.1,1.0,1.0,0.9917739,0.866125982909666,0.9289499431397847
WP_049969002.1,1.0,1.0,0.9907419,0.8669076063484001,0.9288247574493314
WP_094072910.1,1.0,0.9,0.993761,0.8616620989457404,0.927711550981583
WP_065383217.1,1.0,1.0,0.9884722,0.8667127953266357,0.9275925093042481
WP_013300197.1,1.0,1.0,0.9885603,0.8632181091586604,0.9258892140527494
WP_097378604.1,1.0,1.0,0.98418975,0.861417364752471,0.9228035567582545
WP_094264667.1,1.0,0.8,0.97914696,0.8651252254276147,0.9221360914125378
