SampleName,DT,KNN,XGBoost,Adaboost,ensembl_xgb_ada
WP_058998822.1,1.0,1.0,0.9971998,0.8642548956601072,0.9307273347242797
YP_145307.1,1.0,1.0,0.995961,0.8563402307303764,0.9261506205932308
WP_092265422.1,1.0,0.95,0.9966755,0.8399734099861693,0.9183244506595886
WP_014514637.1,1.0,1.0,0.995961,0.833519412767639,0.9147402116118621
WP_038030409.1,1.0,1.0,0.995961,0.8302007497192239,0.9130808800876545
WP_039457454.1,1.0,1.0,0.995961,0.8302007497192239,0.9130808800876545
WP_080977504.1,1.0,1.0,0.996781,0.8252105188883785,0.9109957552213194
WP_093007728.1,1.0,1.0,0.9961462,0.8234930127892541,0.9098196074383282
WP_008631444.1,1.0,1.0,0.99567395,0.8204572785859533,0.9080656165364
WP_034404411.1,1.0,1.0,0.99666417,0.8095012667478462,0.9030827165991733
WP_071678161.1,1.0,1.0,0.99422854,0.8109441080030859,0.9025863249270648
WP_096861749.1,1.0,1.0,0.97583747,0.8225199015536782,0.8991786853273152
WP_045054463.1,1.0,1.0,0.9954896,0.801402941621949,0.8984462694712528
WP_019494780.1,1.0,0.7500000000000001,0.9936242,0.7954010300305153,0.8945126201940907
WP_031194042.1,1.0,1.0,0.98819536,0.7980743918349607,0.8931348757709197
WP_045834967.1,1.0,1.0,0.9958161,0.7854746945973508,0.8906454030809935
WP_088257333.1,1.0,1.0,0.9957975,0.7795472048968103,0.8876723599061382
WP_074290364.1,1.0,1.0,0.9692252,0.8054625808978406,0.8873439043653174
WP_056466663.1,1.0,0.8,0.97154456,0.801237348309916,0.8863909560401051
WP_015717132.1,1.0,1.0,0.9955068,0.7761036207167235,0.88580522188981
WP_038030576.1,0.75,1.0,0.98674154,0.7809115073463664,0.8838265250812642
WP_013847450.1,1.0,1.0,0.9939717,0.7731501083306972,0.8835609068837018
WP_071455425.1,1.0,1.0,0.99449253,0.7689445113839419,0.8817185211033479
WP_011031225.1,1.0,0.8,0.9646863,0.7908121411364727,0.877749207832488
WP_099701147.1,0.75,0.8500000000000001,0.98460174,0.7681599156518045,0.876380825860265
WP_084602981.1,1.0,1.0,0.9914986,0.7591550246298129,0.8753268070727495
WP_038044516.1,1.0,1.0,0.9958444,0.7532522074625564,0.8745483156167304
WP_041438497.1,1.0,1.0,0.9766757,0.7663701874725473,0.8715229383464879
WP_038066338.1,0.75,1.0,0.97961164,0.758766468342609,0.8691890517753694
WP_011238781.1,1.0,0.7,0.9796995,0.7544877983169789,0.8670936453857538
WP_030101561.1,1.0,1.0,0.9616711,0.7724912122444638,0.8670811631061797
WP_034385873.1,0.75,1.0,0.9808164,0.7518951637203178,0.8663557938066464
WP_099966378.1,1.0,0.8,0.95916164,0.7710968541735361,0.8651292466935491
